,index,population,count_intersections,streets_per_node_avg,betweenness_centrality_avg,primary_length_total_ext,highway_length_total_ext,fraction_oneway_ext,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_BFA,N_Est_RW,N_Emp_Mfg,N_Emp_BFA,N_Emp_RW,N_Emp_Tot,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,kopt+0_Clusters,kopt+1_Clusters,kopt+2_Clusters,lat,lon,utm_n,utm_e,geometry,nanostore_count,grid_geometry
36,962,8310,326,3.2453987730000002,0.034458544,0.0,0.0,0.354058164,6,6,5,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,2.06931196542,8.11597124199,2.29824037717,10.5660563134,-2.62228375659,3.50403261878,-0.18462898163400002,4,0,4,-12.21170632,-76.94516412,8649276.063,288380.8033,POINT (-76.94516412 -12.21170632),565.0,"POLYGON ((287880.6152415371 -1351223.935064468, 288880.6152415371 -1351223.935064468, 288880.6152415371 -1350223.935064468, 287880.6152415371 -1350223.935064468, 287880.6152415371 -1351223.935064468))"
37,965,17122,129,3.0140845069999997,0.056883856,0.0,0.0,0.0,0,0,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,6.46932323506,3.66237231898,4.863121109380001,-0.31730133239999997,-0.543208154238,0.755142468348,0.121365258328,4,0,0,-12.21189973,-76.91759953,8649276.063,291380.8033,POINT (-76.91759953 -12.21189973),0.0,"POLYGON ((290880.6231809745 -1351223.93522149, 291880.6231809745 -1351223.93522149, 291880.6231809745 -1350223.93522149, 290880.6231809745 -1350223.93522149, 290880.6231809745 -1351223.93522149))"
38,966,5649,158,3.299401198,0.050471019000000006,0.0,0.0,0.096884173,3,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36219981122,5.65800273646,0.05191358222019999,4.08345430476,-1.8333543582599998,3.4883038935400004,0.508944029407,4,0,4,-12.21196358,-76.90841123,8649276.063,292380.8033,POINT (-76.90841123 -12.21196358),1.0,"POLYGON ((291880.6257468726 -1351223.934446775, 292880.6257468726 -1351223.934446775, 292880.6257468726 -1350223.934446775, 291880.6257468726 -1350223.934446775, 291880.6257468726 -1351223.934446775))"
39,967,4822,113,3.080645161,0.062620113,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.30202746524,2.8122471566500002,2.35376949563,0.383359311421,-0.893014478014,1.68294679665,1.54093361285,4,0,0,-12.21202714,-76.89922288,8649276.063,293380.8033,POINT (-76.89922288 -12.21202714),0.0,"POLYGON ((292880.6281516816 -1351223.935473691, 293880.6281516816 -1351223.935473691, 293880.6281516816 -1350223.935473691, 292880.6281516816 -1350223.935473691, 292880.6281516816 -1351223.935473691))"
40,1019,1432,63,3.028985507,0.083648255,0.0,0.0,0.016256548,0,0,0,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,8.24765555506,-1.73825980612,1.7689956304700003,-2.66184386707,-0.6123395286869999,0.720033400925,0.174213663215,1,2,0,-12.202072,-77.02778625,8650276.063,279380.8033,POINT (-77.02778625000001 -12.202072),222.0,"POLYGON ((278880.5906023483 -1350223.934663106, 279880.5906023483 -1350223.934663106, 279880.5906023483 -1349223.934663106, 278880.5906023483 -1349223.934663106, 278880.5906023483 -1350223.934663106))"
41,1020,1908,132,2.931506849,0.057671035999999995,0.0,0.0,0.133024389,3,0,4,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,6.55333310173,0.398809405572,2.2771188723,0.886937283792,-1.0217658772700002,0.361902767016,-0.37768683635600003,4,0,0,-12.20213948,-77.0185989,8650276.063,280380.8033,POINT (-77.0185989 -12.20213948),301.0,"POLYGON ((279880.5931315339 -1350223.934643938, 280880.5931315339 -1350223.934643938, 280880.5931315339 -1349223.934643938, 279880.5931315339 -1349223.934643938, 279880.5931315339 -1350223.934643938))"
42,1021,5074,170,3.2117647060000003,0.047767391,0.0,0.0,0.300119527,15,6,9,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,2.2993194459099997,3.89610088236,-1.39377735688,4.11541150116,-1.88855788401,3.07660981829,-1.09092029511,4,0,4,-12.20220665,-77.00941149,8650276.063,281380.8033,POINT (-77.00941149000001 -12.20220665),199.0,"POLYGON ((280880.5962491052 -1350223.934171245, 281880.5962491052 -1350223.934171245, 281880.5962491052 -1349223.934171245, 280880.5962491052 -1349223.934171245, 280880.5962491052 -1350223.934171245))"
43,1022,6629,51,3.269230769,0.085799397,685.4366568,0.0,0.12127394300000001,0,1,5,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,5.480821488280001,0.287782510441,-0.221100325745,-1.9499962902599999,-0.71200774637,0.621599177034,1.07599138016,1,2,0,-12.20227352,-77.00022403,8650276.063,282380.8033,POINT (-77.00022403 -12.20227352),122.0,"POLYGON ((281880.5989018747 -1350223.934360281, 282880.5989018747 -1350223.934360281, 282880.5989018747 -1349223.934360281, 281880.5989018747 -1349223.934360281, 281880.5989018747 -1350223.934360281))"
44,1023,5157,62,3.3384615380000002,0.079685592,0.0,0.0,0.0,1,4,1,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,6.19256723469,0.204964134602,0.339407035977,-0.74468355008,-1.20660542688,3.04560819735,0.004908175603970001,4,0,0,-12.20234008,-76.99103651,8650276.063,283380.8033,POINT (-76.99103651 -12.20234008),116.0,"POLYGON ((282880.6021970098 -1350223.934097319, 283880.6021970098 -1350223.934097319, 283880.6021970098 -1349223.934097319, 282880.6021970098 -1349223.934097319, 282880.6021970098 -1350223.934097319))"
45,1025,7213,62,3.238095238,0.104677126,0.0,611.8496172,0.20190675100000002,0,4,0,107.0,2.0,62.0,18120.0,82.0,5234.0,84168.0,4.41274252583,-2.05557598132,-0.016245212384,-2.8439459302700003,3.23813366877,2.7110794321099996,-0.395995883556,1,2,0,-12.20247229,-76.97266132,8650276.063,285380.8033,POINT (-76.97266132 -12.20247229),174.0,"POLYGON ((284880.6075734921 -1350223.934455188, 285880.6075734921 -1350223.934455188, 285880.6075734921 -1349223.934455188, 284880.6075734921 -1349223.934455188, 284880.6075734921 -1350223.934455188))"
46,1026,5237,86,2.9090909089999997,0.075794767,0.0,0.0,0.0,1,0,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,9.006372249650001,0.354639556795,2.60487378444,-2.6648039513599997,-0.33399391725099997,-0.205539568566,0.118433733106,1,2,0,-12.20253794,-76.96347365,8650276.063,286380.8033,POINT (-76.96347365 -12.20253794),78.0,"POLYGON ((285880.6097087681 -1350223.935077384, 286880.6097087681 -1350223.935077384, 286880.6097087681 -1349223.935077384, 285880.6097087681 -1349223.935077384, 285880.6097087681 -1350223.935077384))"
